11 Tunnel,Klostertorv,18
5,15,36,53
6,3,19,37,49
7,4,19,37,52
8,11,31,51
9,11,31,51
10,11,31,50
11,10,30,50
12,10,30,50
13,10,29,49
14,9,29,49
15,9,29,49
16,14,44
17,14,45
18,16,48
19,18,48
20,18,50
21,20,50
22,20,51
23,21,51
0
5
6,14,44
7,14,43
8,13,43
9,11,31,51
10,9,29,49
11,9,29,49
12,9,29,49
13,9,29,49
14,9,29,49
15,9,29,49
16,16,46
17,16,46
18,18,50
19,20,50
20,20,50
21,20,50
22,20,51
23,21,51
0
5
6,14,51
7,21,51
8,21,50
9,20,50
10,20,48
11,18,52
12,22,52
13,22,52
14,22,52
15,22,52
16,22,42
17,22,54
18,20,50
19,20,50
20,20,50
21,20,50
22,20,51
23,21,51
0
11 Klostertorv,Tunnel,18
5,51
6,21,52
7,12,32,47
8,2,17,32,47
9,2,22,42
10,2,22,42
11,2,22,42
12,2,22,42
13,2,22,42
14,3,23,43
15,2,22,42
16,2,22,43
17,3,22,42
18,2,25,55
19,25,54
20,24,54
21,24,54
22,24,54
23,24,54
0,24
5
6,51
7,21,51
8,21,51
9,21,46
10,7,27,47
11,7,27,47
12,7,27,47
13,7,27,47
14,7,27,47
15,7,27,47
16,7,27,47
17,7,27,55
18,25,54
19,24,54
20,24,54
21,24,54
22,24,54
23,24,54
0,24
5
6,54
7,24,54
8,24,54
9,24,54
10,24,49
11,19,49
12,19,49
13,19,50
14,20,50
15,20,50
16,20,50
17,25,55
18,25,55
19,24,54
20,24,54
21,24,54
22,24,54
23,24,54
0,24
